date,sales
2022-01-01,14200
2022-02-01,13800
2022-03-01,15100
2022-04-01,15900
2022-05-01,16400
2022-06-01,17200
2022-07-01,16800
2022-08-01,17500
2022-09-01,16100
2022-10-01,17800
2022-11-01,21200
2022-12-01,25400
2023-01-01,15100
2023-02-01,14600
2023-03-01,16200
2023-04-01,17100
2023-05-01,17800
2023-06-01,18500
2023-07-01,18000
2023-08-01,18900
2023-09-01,17400
2023-10-01,19200
2023-11-01,23100
2023-12-01,27800
2024-01-01,16300
2024-02-01,15900
2024-03-01,17400
2024-04-01,18200
2024-05-01,19100
2024-06-01,20000
2024-07-01,19400
2024-08-01,20300
2024-09-01,18700
2024-10-01,20900
2024-11-01,25200
2024-12-01,30100
